id,subject,claim,value,evidence_class,confidence,source_name,source_url,publication_date,accessed,conflict_note
S013,MaidThis,Consumer-site market footprint,453 indexed pages; 46 distinct city/market URL segments,FACT,High,DataForSEO Labs relevant_pages for maidthis.com,https://maidthis.com/,2026-08-26,2026-08-26,"Derived from search index, not from the franchisor. A live page does not prove an operating franchisee, and maidthis.com is behind a bot wall so the /locations/ page could not be read directly."
S014,MaidThis,"Franchisee marketing spend, Item 19 cohort","5 franchisees, FY2023: $1,022,742 revenue, $118,263 marketing = 11.56%",FACT,Medium,USER-SUPPLIED FDD EXTRACT (2024 FDD Item 19),https://www.freefddlibrary.com/franchises/maidthis,2024,2026-08-26,Client's own reading of Item 19. Not independently re-derived here. Young-cohort data.
S015,MaidThis,Corporate/affiliate marketing intensity,"FY2023: $1,258,495 revenue, $65,777 marketing = 5.23%",FACT,Medium,USER-SUPPLIED FDD EXTRACT (2024 FDD),https://www.freefddlibrary.com/franchises/maidthis,2024,2026-08-26,Client's own reading. This is the mature-state benchmark the model leans on.
S016,MaidThis,"Franchisor P&L, January to October 2024","Royalty $113,577; Monthly Marketing Fee $149,398; Tech fee $38,000; Franchise fees $284,228; Total income $614,242; Net income $41,509",FACT,Medium,"USER-SUPPLIED FDD EXTRACT (2024 FDD, unaudited interim)",https://www.freefddlibrary.com/franchises/maidthis,2024,2026-08-26,"Unaudited 10-month statement. The $149,398 marketing-fee line is the single most important number in this study and should be re-verified against the current FDD."
S017,MaidThis,Digital Marketing Package and local marketing requirement,"Digital package $750 - $1,500/month (2026 reading) or $1,097 - $1,500 (2024 reading); local marketing minimum is the greater of $1,000/month or 5% of Gross Sales",FACT,Low,USER-SUPPLIED FDD EXTRACT,https://www.freefddlibrary.com/franchises/maidthis,2024/2026,2026-08-26,NOT independently verified. No public FDD summary reachable in this run discloses a Digital Marketing Package line. Treat as the highest-priority item to confirm.
S018,Vendor,Lahav Media MaidThis case study,"32 locations referenced; Chattanooga: 33 page-one keywords, 34 organic leads, 0 to 368 organic visits in 2 months, #1 on Google Maps",FACT,High,Lahav Media,https://www.lahavmedia.com/case-studies/maidthis-page-one-in-two-months,,2026-08-26,"Vendor-published, so the metrics are OWNED evidence, not independent verification."
S019,Vendor,David Lahav is both the Lahav Media founder and a MaidThis franchisee,Founder and CEO of Lahav Media; owner of MaidThis Denver/Boulder; described as the first MaidThis franchisee,STRONG INFERENCE,High,Crunchbase person profile + MaidThis Denver franchise testimonial video + Lahav Media podcast episode with Neel Parekh,https://www.crunchbase.com/person/david-lahav,,2026-08-26,Three independent signals agree. This is a related-party relationship and it changes how the SEO vendor line can be renegotiated.
S020,Vendor,GBG Marketing MaidThis deployment and results,"33+ MaidThis locations; +39% conversion; STR lead costs down 75%; database generating $4,000+/month; 10-touch SMS/email/voicemail/human sequence",FACT,High,GBG Marketing,https://gbg.marketing/,,2026-08-26,Vendor-published (OWNED). The 33+ location figure is a useful independent cross-check on network size.
S021,MaidThis,Open Director of Marketing role,"$5k - $7k per month; owns Vendor Hub, paid budgets across franchisee markets, SEO vendor direction, KPI dashboards per market, quarterly marketing package refresh, AI deployment",FACT,High,"DynamiteJobs posting, updated 2026-08-10",https://dynamitejobs.com/company/maidthiscleaning/remote-job/director-of-marketing-local-business-marketing,2026-08-10,2026-08-26,This job description is the clearest public statement of the problem being sold into.
S022,MaidThis,Stated operating bottleneck,"Surveyed 40+ franchise owners; the constraint was hiring cleaners, not leads; building an AI recruiting system",FACT,Medium,ZenMaid Filthy Rich Cleaners podcast coverage of Neel Parekh,https://www.zenmaid.com/magazine/scaling-cleaning-business-franchise-neel-parekh/,,2026-08-26,Founder statement reported by a third party. Corroborates the client's note.
S023,MaidThis,Customer review aggregate,"387 reviews, 4.7 average: 343 five-star, 20 four-star, 3 three-star, 11 two-star, 10 one-star",FACT,Medium,Trustindex,https://www.trustindex.io/reviews/maidthis.com,2026,2026-08-26,"Aggregator, selection method not disclosed. Negative themes: incomplete cleans, quote-versus-charge disputes, scheduling and communication."
S024,MaidThis,Franchisee satisfaction evidence is thin,FBR page states no satisfaction data available; ZeeScores has 3 anonymous reviews at 100/100,FACT,High,Franchise Business Review + ZeeScores,https://www.zeescores.com/franchise/maidthis-cleaning,2026,2026-08-26,"n=3 anonymous. Awards (2025/2026 Top Culture, 2026 Top 200) are not satisfaction data."
S025,PMNow,"Services, scale claim and contract terms","500+ contractors served; Google Maps, website SEO, Local Service Ads, Google Ads; remote team with front office in North America and Europe; no long-term contracts, 30-day notice",FACT,High,pmnow.biz,https://pmnow.biz/,,2026-08-26,"'500+ contractors' is cumulative, not an active client count."
S026,PMNow,Client review aggregate,4.8/5 from 102 reviews,FACT,High,Birdeye,https://reviews.birdeye.com/pmnow-proven-marketing-now-166839520848816,2026,2026-08-26,"Collected via a reputation tool the agency controls, so positively selected."
S027,PMNow,Entity and founders,"Proven Marketing Now LLC, 121 Newark Avenue Suite 591, Jersey City NJ 07302; founded by Eric and Michael",FACT,Medium,Public business directories,https://www.alignable.com/jersey-city-nj/pmnow-proven-marketing-now-2,,2026-08-26,
S028,PMNow,Third-party firmographic estimates conflict sharply,ZoomInfo 51-200 employees and under $5M revenue; Crunchbase 51-100; Prospeo 11-20; Clodura 11-50,STRONG INFERENCE,Low,ZoomInfo / Crunchbase / Prospeo / Clodura,https://www.zoominfo.com/c/proven-marketing-now/475768855,2026,2026-08-26,"A 10x spread. These are scraped estimates, not filings. Do not quote any of them as fact."
S029,PMNow,Home-services agency retainer benchmarks,"SEO $1,000 - $3,500/month; HVAC SEO $1,500 - $5,000/month; full-service $2,500 - $12,000/month plus ad spend",FACT,Medium,Hook Agency / BuiltRight Digital / PipelineOn published pricing guides,https://hookagency.com/blog/digital-marketing-costs-for-home-service-businesses-in-2026/,2026,2026-08-26,"Agency-published price guides, so upward-biased. Used only to bracket ARPA."
S030,Method,Jason Hennessey outsourcing-genius method,"Brings in world-class outside specialists to audit one client site, tests the findings, then applies what works across the whole client base; Hennessey Digital 100+ staff, $10M+ revenue",FACT,High,Marketing Speak interview + Hennessey Digital,https://www.marketingspeak.com/blueprint-to-scaling-an-seo-agency-with-jason-hennessey/,,2026-08-26,"The specific '$5,000 per audit, $5k-$10k per month' budget figures in the client's brief were not located in this run. Treat the amounts as unverified."
S031,Macedonia,Statutory social contributions,"Pension and disability 18.8%, health 7.5%, employment 1.2%, additional health 0.5% = 28% of gross; min base 50% of national average salary, max base 16x",FACT,High,PwC Worldwide Tax Summaries,https://taxsummaries.pwc.com/north-macedonia/individual/other-taxes,2026,2026-08-26,"PwC states these are withheld from the employee's gross salary. There is no separate employer-side add-on, so employer cost is approximately equal to gross."
S032,Macedonia,Personal income tax,"10% flat; personal allowance MKD 123,240/year (MKD 10,270/month)",FACT,High,CountryTaxCalc North Macedonia guide,https://www.countrytaxcalc.com/tax-guides/north-macedonia-tax-guide/,2026,2026-08-26,
S033,Macedonia,Conflicting employer-cost claim,Playroll states employer contributions add about 16-18% on top of gross,FACT,Low,Playroll,https://www.playroll.com/employment-cost/north-macedonia,2026,2026-08-26,"Directly contradicts PwC. The salary model follows PwC and treats employer cost as equal to gross, then adds a 5% administrative buffer. If Playroll is right, pod cost rises roughly 16-18% and margins fall accordingly. Flagged in the risk register."
S034,Macedonia,National average net salary,"MKD 45,961 per month (Nov 2025)",FACT,High,wage.is / national statistics aggregation,https://wage.is/north-macedonia/,2025-11,2026-08-26,Used to sanity-check the gross-up formula.
S035,Macedonia,"Role salary ranges, self-reported","SEO analyst net MKD 24,400 - 59,614 (80% range, n=29); digital marketing specialist net MKD 28,419 - 62,574",FACT,Medium,MojaPlata.mk,https://www.mojaplata.mk/en/salaryinfo/marketing-advertising-pr/seo-analyst,2026,2026-08-26,"Self-reported survey data, small samples, skews to the domestic market rather than export-facing employers."
S036,Macedonia,Skopje workspace cost,"Coworking desk EUR 10/day, private office EUR 25/day; Regus day office MKD 4,290/person/day",FACT,Medium,coworkingskopje.com / Regus,https://coworkingskopje.com/,2026,2026-08-26,Day rates. Monthly contracts are materially cheaper and should be negotiated directly.
S037,MaidThis,"Chattanooga Maps pack, measured",MaidThis Cleaning of Chattanooga ranks 3 with 4.9 stars and 142 reviews; Molly Maid of Chattanooga 4.6 with 276 reviews,FACT,High,"DataForSEO Google Maps SERP, keyword 'house cleaning service'",https://api.dataforseo.com/,2026-08-26,2026-08-26,"Measured directly in this run. Cross-checks the Lahav Media #1-on-Maps claim, which no longer holds for this head term."
